employee_no,employee_name,company,region,sub_company,division,department,section,project,level8,org_name_en,org_name_zh,org_name_hk,position_en,position_zh,position_hk,position_code,position_name,category,working_location,supervisor_no,contract_start_date,contract_end_date,work_tel_ext,grade,shift,benefit_location,pay_terms,id_number,work_email,rank,last_review_date,probation_complete_date,current_post_start_date,last_working_date,service_days_adj,next_review_date,service_start_date,work_start_date,work_days_adj,rehire_date,al_balance,contract_terms,annual_leave_balance,terminate_remarks,job_code,personal_password,employee_remark,last_payment_date,notice_date,is_rehire,termination_effect_date,join_date,surname_title,surname,other_name,official_name,ac_location,file_location,hkid_No,nationality,gender,date_of_birth,place_of_birth,address,address_city,address_zip_code,address_district,correspondence_address,correspondence_zip_code,correspondence_2,correspondence_3,race,language,home_tel_no,other_tel_no,mobile_no,passport_no,passport_place_of_issue,personal_email,political_status,education_level,passport_validity_period,payroll_location,base_currency,cost_center,bank_ac_no,bank_ac_holder,bank_name,employee_category,quarters_provided,class,performance,performance_date,mpf_scheme_code,mpf_start_date,leave_policy,tax_location,tax_currency,holiday_policy,benefit_policy,benefit_start_date,med_benefit_policy,payroll_type,housing_fund_location,pension_fund_no,housing_fund_no,marital_status,spouse_name,spouse_date_of_birth,spouse_passport_no,spouse_id_no,spouse_profession,spouse_contact_tel,emergency_contact_no1,emergency_contact_name1,emergency_contact_no2,emergency_contact_name2,no_of_children,a01,a02,a03,a04,a05,a06,a07,a08,a09,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,aa1,aa2,aa3,aa4,aa5,aa7,aa8,aa9,aa10,aa11,aa6,aa12,aa13,MBTI,aa15,aa16,enneagram,aa18,aa19,aa20,d01,d02,d03,d04,d05,d06,d07,d08,d09,d10,d11,d12,d13,d14,d15,dd1,dd2,dd3,dd4,dd5,dd6,dd7,dd8,dd9,dd10,dd11,dd12,dd13,dd14,dd15,n01,n02,n03,n04,n05,n06,n07,n08,n09,n10,n11,n12,n13,n14,n15,nn1,nn2,nn3,nn4,nn5,nn6,nn7,nn8,nn9,nn10,nn11,nn12,nn13,nn14,nn15,child0_name,child0_birth,child0_policy,child0_periodtype,child0_entitle,child1_name,child1_birth,child1_policy,child1_periodtype,child1_entitle,child2_name,child2_birth,child2_policy,child2_periodtype,child2_entitle
A100002,Jennifer,MNL,China,Shanghai,Marketing,1091,,,,,,,,,,2000213278,Marketing Manger,S2,Sha***ai,A100057,2000-01-01 00:00:00,,***,14,SH,BJ,SH,330222198101160030,****@mnl.com,Intermediate maintenance,2020-07-15 00:00:00,2021-12-12 00:00:00,2022-11-01 00:00:00,2023-05-31 00:00:00,-43,2021-01-15 00:00:00,2013-03-01 00:00:00,2013-03-04 00:00:00,0,2018-01-01 00:00:00,0,,0,,,******,,2023-05-31 00:00:00,2023-06-01 00:00:00,1,2023-06-01 00:00:00,2021-09-13 00:00:00,Mr.,Wu,Jennifer,Joe,BJ,BJ,H123321(8),1,M,1981-01-16 00:00:00,**,Roo************************************************..,110*00,200***.0,110*02,Roo************************************************..,100***.0,,,Han,Chn,86-***********,86-***********,***********,P1234578,CHN,****@gmail.com,Masses,Master,2023-12-31 00:00:00,BJ,RMB,HB_BJ_Engineering,6.02529E+016,,,Local,1,P7,,2012-04-01 00:00:00,HongKong,2000-01-20 00:00:00,BJ,BJ,RMB,BJ,BJ,2017-06-27 00:00:00,BJ,0,BJ,PF123467,HFPF123467,Married,黄颖萦,1974-01-17 00:00:00,P7654332,1.1000019740117E+017,Human Resource,86-***********,86-***********,Zita 黄颖萦,86-***********,王东亮,1,内部招聘,O,是,,,2,,,,,No,,,,,,,,施特伟软件（北京）有限公司,施特伟软件（上海）有限公司,财务中心,财务管理部,预算管理,,,,集团公司,销售中心,考勤机销售部,华南区销售部,A100098,深圳销售公司,A100110,INTJ,HR100001,aa16,4,,,,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,,,,,,,,,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,,,,,,,,,,170,65,0,300,23,34,0,0,0,0,0,0,0,0,0,123,0,0,0,1,5000,0,0.5,0,0,0,0,0,0,0,伍一,2019-12-03 00:00:00,SH,0,5,伍四,2020-03-03 00:00:00,SH,0,5,,1900-01-01 00:00:00,,0,0
A100003,Mary,MNL,China,Beijing,Engineering,1097,,,,,,,,,,2000213170,Intermediate maintenance,S2,Bei**ng,A100002,2017-10-31 00:00:00,2021-11-26 00:00:00,***,14,Securitas,BJ,SH,340104199904131004,****@mnl.com,Intermediate maintenance,2022-11-07 00:00:00,2022-03-11 00:00:00,2024-01-24 00:00:00,,256,2023-05-07 00:00:00,2013-03-01 00:00:00,2013-03-04 00:00:00,0,2024-01-23 00:00:00,0,F,0,,,******,,,,,,2017-10-17 00:00:00,Ms.,Wu,Mary,Joe,,BJ,H123321(8),1,F,1999-04-13 00:00:00,**,,,,,,100***.0,,,Han,Chn,86-***********,86-***********,***********,P1234578,CHN,****@gmail.com,Masses,Master,2013-12-31 00:00:00,BJ,RMB,HB_BJ_Engineering,6.02529E+016,,,Local,1,P7,,2012-04-01 00:00:00,HongKong,2000-01-20 00:00:00,BJ,BJ,RMB,BJ,BJ,2017-06-27 00:00:00,BJ,0,BJ,PF123467,HFPF123467,Married,黄颖萦,1974-01-17 00:00:00,P7654332,1.1000019740117E+017,Human Resource,86-***********,86-***********,Zita 黄颖萦,86-***********,王东亮,12,内部招聘,O,是,,,2,,,,,No,,,,,,,,施特伟软件（北京）有限公司,施特伟软件（上海）有限公司,财务中心,财务管理部,预算管理,,,,集团公司,销售中心,考勤机销售部,华南区销售部,A100098,深圳销售公司,A100110,INFJ,HR100001,aa16,6,,,,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,,,,,,,,,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,,,,,,,,,,170,65,0,300,23,34,0,0,0,0,0,0,0,0,0,123,0,0,0,1,5000,0,0.5,0,0,0,0,0,0,0,,,,0,0,,,,0,0,,,,0,0
A100009,Jack,MNL,China,Shenzhen,Marketing,1021,,,,,,,,,,2000213292,Marketing Assistant,S1,She***en,A100057,2010-01-10 00:00:00,2099-12-31 00:00:00,***,2,Securitas,SH,SH,422322198202084515,****@mnl.com,Management,2021-01-01 00:00:00,2000-04-09 00:00:00,2022-11-02 00:00:00,1900-01-01 00:00:00,1432,2021-07-01 00:00:00,2000-01-10 00:00:00,2000-01-10 00:00:00,0,2018-02-01 00:00:00,0,F,0,,,******,,1900-01-01 00:00:00,1900-01-01 00:00:00,0,1900-01-01 00:00:00,2020-02-01 00:00:00,Mr.,Fan,Jack,May,,SH,,1,F,1982-02-08 00:00:00,**,Roo************************************************..,310*00,200***.0,310*01,,200***.0,,,Han,Chn,86-***********,86-***********,***********,P1234569,CHN,****@cityray.cn,Masses,Master,2013-12-31 00:00:00,SH,RMB,BJ,622128661114847,范美连,BOC,Local,1,P4,,2015-01-30 00:00:00,,2000-01-10 00:00:00,SH,SH,RMB,SH,SH,2000-01-10 00:00:00,SH,0,SH,PF123458,HFPF123458,Married,黄志俊,1974-12-29 00:00:00,P7654323,1.1000019741229E+017,Police,86-***********,86-***********,Martin 黄志俊,86-***********,李志安,1,朋友介绍,A,否,广医二院,是,II 级,佛教,否,A,,,,,,,2008年8月10日,,4.40192199209233E+017,1992年9月23日,1995年9月23日,财务中心,财务管理部,预算管理,,,深圳XX科技股份有限公司,集团公司,销售中心,考勤机销售部,华南区销售部,A100098,深圳销售公司,A100110,ENTJ,J100001,,9,,,,2020-07-31 00:00:00,2020-12-31 00:00:00,2020-08-20 00:00:00,2020-10-15 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,,,,,,,,,2020-08-18 00:00:00,2023-09-12 00:00:00,2025-04-16 00:00:00,2020-04-07 00:00:00,1900-01-01 00:00:00,,,,,,,,,,,191,55,215,817,23,34,20,20,0,0,0,0,0,0,0,308,123456,500,0,1,3000,1,1.2,0,0,0,0,0,0,0,,,,0,0,,,,0,0,,,,0,0
A100027,John,MNL,MiddleEast,Dubai,Engineering,1097,,,,,,,,,,2000213168,project manager,S1,*****,A100057,2010-01-10 00:00:00,2099-12-31 00:00:00,***,1,Securitas,SH,SH,42232219820207451X,****@mnl.com,Management,2021-01-01 00:00:00,2000-04-09 00:00:00,2022-03-31 00:00:00,,1432,2021-07-01 00:00:00,2000-01-10 00:00:00,2000-01-10 00:00:00,0,2018-02-01 00:00:00,0,F,0,,,******,,,,,1900-01-01 00:00:00,2020-02-01 00:00:00,Mr.,Fan,John,May,SH,SH,,150,F,1982-02-07 00:00:00,**,Roo************************************************..,**,200***.0,**,Roo************************************************..,200***.0,,,Han,Chn,86-***********,86-***********,***,P1234569,CHN,****@cityray.cn,Masses,Master,2013-12-31 00:00:00,SH,RMB,BJ,622128661114847,范美连,BOC,Local,1,P4,,2015-01-30 00:00:00,,2000-01-10 00:00:00,SH,SH,RMB,SH,SH,2000-01-10 00:00:00,SH,0,SH,PF123458,HFPF123458,Married,黄志俊,1974-12-29 00:00:00,P7654323,1.1000019741229E+017,Police,86-***********,86-***********,Martin 黄志俊,86-***********,李志安,1,朋友介绍,A,否,广医二院,是,II 级,佛教,否,A,,,,,,,2008年8月10日,,4.40192199209233E+017,1992年9月23日,1995年9月23日,财务中心,财务管理部,预算管理,,,深圳XX科技股份有限公司,集团公司,销售中心,考勤机销售部,华南区销售部,A100098,深圳销售公司,A100110,INFJ,J100001,,1,,,,2020-07-31 00:00:00,2020-12-31 00:00:00,2020-08-20 00:00:00,2020-10-15 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,,,,,,,,,2020-08-18 00:00:00,2023-09-12 00:00:00,2025-04-16 00:00:00,2020-04-07 00:00:00,1900-01-01 00:00:00,,,,,,,,,,,191,55,215,817,23,34,20,20,0,0,0,0,0,0,0,308,123456,500,0,1,3000,1,1.2,0,0,0,0,0,0,0,,,,0,0,,,,0,0,,,,0,0
A100010,Kenneth,MNL,MiddleEast,Dubai,Sales,1096,,,,,,,,,,2000213163,Sales Rep,S1,*****,A100032,2017-07-02 00:00:00,2018-07-02 00:00:00,***,2,BJ,BJ,SH,150523198905039905,****@mnl.com,Operation,2020-08-19 00:00:00,2017-04-30 00:00:00,2017-02-01 00:00:00,2022-07-31 00:00:00,0,2021-02-19 00:00:00,2017-02-01 00:00:00,2017-02-01 00:00:00,0,1900-01-01 00:00:00,0,F,0,,,******,,2022-07-31 00:00:00,2022-08-01 00:00:00,0,1900-01-01 00:00:00,2017-04-29 00:00:00,Ms.,Li,Kenneth,Maggie.Li,310100,SH,,1,F,1989-05-03 00:00:00,**,***,410*00,200***.0,410*24,***,200***.0,,,Han,,***********,86-***********,***********,P1234569,CHN,,Party,Master,1900-01-01 00:00:00,BJ,RMB,,622128661114847,李妍,3201,Local,,P2,,2001-04-01 00:00:00,,2000-01-10 00:00:00,BJ,BJ,RMB,BJ,BJ,2017-02-01 00:00:00,BJ,1,BJ,PF123458,HFPF123458,Married,张芳,2018-10-04 00:00:00,,22222222222,东三省,*******,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENTP,J100006,,3,,,,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,,,,,,,,,,,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,,0,0,,,,0,0
A100011,Anthony,MNL,USA,New York,Sales,1097,,,,,,,,,,2000213268,Sales Manager,E,New***rk,A100059,2021-03-01 00:00:00,2021-07-01 00:00:00,***,1,BJ,BJ,BJ,210103198307210185,****@mnl.com,Intermediate maintenance,1900-01-01 00:00:00,2020-07-09 00:00:00,2022-09-30 00:00:00,2022-06-29 00:00:00,0,1900-01-01 00:00:00,2017-03-01 00:00:00,2017-03-01 00:00:00,0,1900-01-01 00:00:00,0,F,0,,,******,,2022-06-29 00:00:00,2022-06-30 00:00:00,1,2022-06-30 00:00:00,2017-03-01 00:00:00,Mr.,Chan,Anthony,Stella.Dong,,,,,F,1983-07-21 00:00:00,,,,,,,,,,,,,,,,,,,Master,1900-01-01 00:00:00,BJ,,,,,,,,,,1900-01-01 00:00:00,,1900-01-01 00:00:00,BJ,BJ,,BJ,BJ,2017-03-01 00:00:00,BJ,0,BJ,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENTP,J100015,,2,,,,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,,,,,,,,,,,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,,0,0,,,,0,0
A100012,Samson,MNL,USA,New York,Engineering,1097,,,,,,,,,,2000213170,Intermediate maintenance,E,New***rk,A100057,2022-03-01 00:00:00,2023-08-01 00:00:00,***,10,BJ,BJ,BJ,371082198510190752,****@mnl.com,Management,2021-01-01 00:00:00,2017-05-31 00:00:00,2021-01-01 00:00:00,1900-01-01 00:00:00,0,2022-01-01 00:00:00,2017-03-01 00:00:00,2017-03-01 00:00:00,0,1900-01-01 00:00:00,0,F,0,,,******,,1900-01-01 00:00:00,1900-01-01 00:00:00,0,1900-01-01 00:00:00,2017-07-01 00:00:00,Mr.,Chan,Samson,Amy.He,,,,1,M,1985-10-19 00:00:00,,,,,,,,,,,,,,***********,,,,,Master,1900-01-01 00:00:00,BJ,,,,,,,,,,1900-01-01 00:00:00,,1900-01-01 00:00:00,BJ,BJ,,BJ,BJ,2017-03-01 00:00:00,BJ,0,BJ,,,,,1900-01-01 00:00:00,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENTP,,,2,,,,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,,,,,,,,,,,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,,0,0,,,,0,0
A100013,Nancy,MNL,Canada,Toronto,Developmen,1096,,,,,,,,,,2000213166,Intermediate implementation,E,Tor**to,A100057,2023-01-01 00:00:00,2023-12-31 00:00:00,***,2,BJ,BJ,BJ,330226198001015499,****@mnl.com,Operation,2013-04-01 00:00:00,2011-06-06 00:00:00,2021-01-01 00:00:00,,220,2013-04-01 00:00:00,2000-01-17 00:00:00,2000-01-17 00:00:00,0,2018-02-01 00:00:00,0,F,0,,,******,,,,,,2018-02-01 00:00:00,Ms.,Peng,Nancy,Tony,BJ,BJ,,,M,1980-01-01 00:00:00,**,Roo**************************************************************************************ce,**,100***.0,**,Roo**************************************************************************************ce,100***.0,,,Han,Chn,86-***********,86-***********,86-***********,P1234573,CHN,****@gmail.com,Masses,Master,2013-12-31 00:00:00,BJ,RMB,HB_BJ_Marketing,602528661110045,彭国菜,ICBC,Local,1,P3,,2012-04-01 00:00:00,,2000-01-17 00:00:00,BJ,BJ,RMB,BJ,BJ,2000-01-17 00:00:00,BJ,1,BJ,PF123462,HFPF123462,Married,王洋,1973-12-18 00:00:00,P7654327,1.1000019731218E+017,Lawyer,86-***********,86-***********,Sunny 王洋,,,2,人才市场,,,,,,,,,,自行负担,,,,,,,,,,,,,,,,,,,,,,,ENTP,,aa16,3,,,,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,,,,,,,,,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,,,,,,,,,,,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,,0,0,,,,0,0
A100016,Vincent,MNL,Canada,Toronto,Development,1096,,,,,,,,,,2000213163,Senior Developer,E,Tor**to,A100057,2021-01-01 00:00:00,2099-12-31 00:00:00,***,1,BJ,BJ,BJ,,****@mnl.com,Management,2018-06-12 00:00:00,2017-06-30 00:00:00,2017-04-01 00:00:00,1900-01-01 00:00:00,0,2018-12-12 00:00:00,2017-04-01 00:00:00,2017-04-01 00:00:00,0,1900-01-01 00:00:00,0,O,0,,,******,,1900-01-01 00:00:00,1900-01-01 00:00:00,0,1900-01-01 00:00:00,2017-04-01 00:00:00,Mr.,Wang,Vincent,Janny.Xiao,,,,,M,1994-03-09 00:00:00,,,,,,,,,,,,,,,,,,,Undergraduate,1900-01-01 00:00:00,BJ,,,,,,,,,,1900-01-01 00:00:00,,1900-01-01 00:00:00,BJ,BJ,,BJ,BJ,2017-04-01 00:00:00,BJ,1,BJ,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENTP,,,4,,,,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,,,,,,,,,,,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,,0,0,,,,0,0
A100018,Jackson,MNL,USA,San Jose,Sales,1096,,,,,,,,,,2000213166,Intermediate implementation,S2,San***se,A100057,2010-01-12 00:00:00,2022-07-01 00:00:00,***,11,BJ,BJ,BJ,110000197408110150,****@mnl.com,Management,2019-01-01 00:00:00,2000-04-11 00:00:00,2000-01-12 00:00:00,,51,2019-07-01 00:00:00,2021-09-13 00:00:00,2021-09-13 00:00:00,0,1900-01-01 00:00:00,0,O,0,,,******,,,,,,2021-10-15 00:00:00,Mr.,Tan,Jackson,Vison.Chen,BJ,BJ,,,M,1974-08-11 00:00:00,**,Roo**************************************************************************************ce,**,100***.0,**,Roo**************************************************************************************ce,100***.0,,,Han,Chn,86-***********,86-***********,86-***********,P1234579,CHN,****@gmail.com,共产党员,Master,2013-12-31 00:00:00,BJ,RMB,HB_BJ_Engineering,602528661117203-0,,,Local,1,P9,,2012-04-01 00:00:00,,2000-01-12 00:00:00,BJ,BJ,RMB,BJ,BJ,2000-01-12 00:00:00,BJ,1,BJ,PF123468,HFPF123468,Married,陈炜珊,1974-01-23 00:00:00,P7654333,1.1000019740123E+017,Lawyer,86-***********,86-***********,Elaine 陈炜珊,,,1,人才市场,,,,,,,,,,自行负担,,,,,,,,,,,,,,,,,,,,,,,ENTP,,,6,,,,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,,,,,,,,,,,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,,0,0,,,,0,0
